"sample","invasion","disturbance","PC1.soil","PC2.soil","PCNM1","fungal.spec.richness","bacterial.fisher.alpha","MAP","plant.shannon","jacc.f.nmds1","horn.b.nmds1"
"1DGN.1","Invaded","Disturbed",-2.49849653794017,-1.48976952393249,-0.0971766358856246,236,2593.632426,649.36791552,1.035790213,-0.303102389685584,-0.0313185879305813
"1DGN.2","Invaded","Disturbed",-4.34587082346545,2.90519351871667,-0.0971766358856236,175,2237.868983,649.36791552,1.035790213,-0.494853052286818,-0.0374788419079879
"1DGN.3","Invaded","Disturbed",-1.04759708348538,-0.587665007512617,-0.0971766358856243,217,2258.113475,649.36791552,1.035790213,-0.0986990537708356,0.0468424791615467
"1DGN.4","Invaded","Disturbed",-1.77452440377068,0.73728820694266,-0.0971766358856243,214,2771.610767,649.36791552,1.035790213,-0.062453245026114,0.0261226337344951
"1DGN.5","Invaded","Disturbed",-2.96043816875644,-0.0571270203252911,-0.0971766358856243,87,2109.93625,649.36791552,1.035790213,-0.119836106753312,0.00359024658971289
"1DGL.1","Uninvaded","Disturbed",-0.569645898750596,2.17830351076545,-0.0971601027311065,224,2742.087206,649.456088640001,1.52906733,0.224875353061123,0.0271237402913673
"1DGL.2","Uninvaded","Disturbed",0.807258265158879,0.47337389271264,-0.0971601027311065,200,2190.005421,649.456088640001,1.52906733,0.203130694944495,0.00959689661914928
"1DGL.3","Uninvaded","Disturbed",-0.947571595408322,2.69742660320273,-0.0971601027311065,220,2482.850454,649.456088640001,1.52906733,0.217827716772081,0.0115014931231909
"1DGL.4","Uninvaded","Disturbed",1.13719824688901,-0.431390638346853,-0.0971601027311065,199,2413.459345,649.456088640001,1.52906733,0.147874827345606,-0.00405564481137078
"1DGL.5","Uninvaded","Disturbed",0.180515163765641,-1.3817604555851,-0.0971601027311065,264,2761.099519,649.456088640001,1.52906733,0.143109759795594,-0.00230897493289113
"1UGN.1","Invaded","Undisturbed",-1.36188056510978,-0.962314293131743,-0.0970469620691411,240,2733.712325,649.667230720001,0,-0.259880135167115,-0.0190726909053874
"1UGN.2","Invaded","Undisturbed",-0.711016183574476,-1.25851646110656,-0.0970469620691411,211,2955.795963,649.667230720001,0,-0.176512860258959,-0.0158882935845578
"1UGN.3","Invaded","Undisturbed",3.07908223933134,1.91533131263167,-0.0970469620691411,186,2253.324189,649.667230720001,0,0.0421331014744977,-0.0320516262690898
"1UGN.4","Invaded","Undisturbed",-0.588681352900487,0.710229906977683,-0.0970469620691411,226,2506.716459,649.667230720001,0,-0.197280679629954,-0.0466891085683088
"1UGN.5","Invaded","Undisturbed",0.542127606938701,-1.02441752708936,-0.0970469620691411,160,2882.23397,649.667230720001,0,-0.28189605689794,0.10973821931635
"1UGL.1","Uninvaded","Undisturbed",2.07579885216105,-0.0644896861286498,-0.0970606472745728,129,1289.051114,649.57788736,2.166009836,0.887008474684082,0.0583750720381937
"1UGL.2","Uninvaded","Undisturbed",1.24497109630122,-0.412478890960698,-0.0970606472745728,53,1939.284305,649.57788736,2.166009836,1.89487054385704,0.368003926110912
"1UGL.3","Uninvaded","Undisturbed",1.54943450605415,-0.701511777809797,-0.0970606472745728,171,2134.112215,649.57788736,2.166009836,0.615876013973998,-0.0168214216277526
"1UGL.4","Uninvaded","Undisturbed",1.585392537734,-0.460864719286573,-0.0970606472745728,180,2150.450741,649.57788736,2.166009836,0.617441365220814,0.0279222118340499
"1UGL.5","Uninvaded","Undisturbed",0.40360658221462,-0.788896878194874,-0.0970606472745728,132,2590.002806,649.57788736,2.166009836,0.773580138700693,0.0619053042592564
"3DGN.1","Invaded","Disturbed",-3.20873184694544,-1.92845345679467,0.184358803529815,195,2970.297143,655.0976,0.503769028,-0.339270508155349,0.0361918196946777
"3DGN.2","Invaded","Disturbed",-3.95021882538112,3.22793927436642,0.184358803529815,178,3233.804089,655.0976,0.503769028,-0.298775472094373,0.11909368754323
"3DGN.3","Invaded","Disturbed",-2.38678086927429,-1.69033776468191,0.184358803529815,103,2519.007583,655.0976,0.503769028,-0.596660699451938,-0.199226062960959
"3DGN.4","Invaded","Disturbed",-0.427947478060496,-0.771927942448567,0.184358803529815,170,3282.99628,655.0976,0.503769028,-0.284107454233209,-0.0785145626631469
"3DGN.5","Invaded","Disturbed",-1.08483202496788,-1.03605823513675,0.184358803529815,204,3139.853417,655.0976,0.503769028,-0.171420594724585,-0.0324111975234563
"3DGL.1","Uninvaded","Disturbed",0.978649367621143,-0.238491982367693,0.18435550177839,166,3253.280387,655.1792,1.530025638,-0.0758731873769401,-0.0115875391439602
"3DGL.2","Uninvaded","Disturbed",0.955487692114883,0.0932572741315987,0.18435550177839,118,2664.801911,655.1792,1.530025638,0.388929846293993,0.0498339154596859
"3DGL.3","Uninvaded","Disturbed",2.44489742842596,-0.0222764301504795,0.18435550177839,167,3235.664908,655.1792,1.530025638,0.0775816776614864,-0.0209473871896433
"3DGL.4","Uninvaded","Disturbed",-1.18243274685366,-0.201459229469381,0.18435550177839,179,2839.111462,655.1792,1.530025638,-0.0422162815397994,-0.101662902169594
"3DGL.5","Uninvaded","Disturbed",-1.71072432214782,3.13525765819196,0.18435550177839,141,3338.134561,655.1792,1.530025638,0.0814112139505032,0.100675731834458
"3UGN.1","Invaded","Undisturbed",-0.301875603612631,-1.11078038750365,0.172365983844925,193,2222.244667,652.703788800001,0.600406096,-0.321323227203131,-0.0133894180466927
"3UGN.2","Invaded","Undisturbed",-0.864173555150499,-0.814118782326407,0.172365983844925,224,3283.437496,652.703788800001,0.600406096,-0.306125856432664,0.000978533131497918
"3UGN.3","Invaded","Undisturbed",0.463717498730818,-0.036422525926632,0.172365983844925,240,3106.098932,652.703788800001,0.600406096,-0.225737438346502,-0.00620379534802323
"3UGN.4","Invaded","Undisturbed",-0.39594806507978,-0.325453597200983,0.172365983844925,214,2823.214231,652.703788800001,0.600406096,-0.423241035237256,0.0644468608441491
"3UGN.5","Invaded","Undisturbed",-1.25106135429893,0.271761485818392,0.172365983844925,148,2606.97451,652.703788800001,0.600406096,-0.491614747658136,0.0321179556861795
"3UGL.1","Uninvaded","Undisturbed",0.572082977251857,-1.83016295387639,0.184356333435511,222,2196.356798,652.742726400001,2.540033992,0.118011780502413,0.0104452432447343
"3UGL.2","Uninvaded","Undisturbed",0.381180836812794,-0.378440489420405,0.184356333435511,144,2800.181181,652.742726400001,2.540033992,0.122737552296369,0.0499024234623026
"3UGL.3","Uninvaded","Undisturbed",1.57874980394625,-1.07130164820773,0.184356333435511,185,2667.111711,652.742726400001,2.540033992,0.138432058662806,0.0498231985879136
"3UGL.4","Uninvaded","Undisturbed",0.472754827213232,-0.574176989169195,0.184356333435511,177,2930.677496,652.742726400001,2.540033992,-0.0220617249018506,0.0469798762918808
"3UGL.5","Uninvaded","Undisturbed",1.28905339053706,-0.0442824842542216,0.184356333435511,143,2689.965916,652.742726400001,2.540033992,0.316266899489984,0.0390845860637191
"2DGN.1","Invaded","Disturbed",-2.12446861257181,-1.57276669347783,-0.0967986205924088,228,3237.263496,648.424724319999,0.06549148,-0.35230340550105,-0.141187417808904
"2DGN.2","Invaded","Disturbed",-1.85000721796999,-1.43142927994657,-0.0967986205924088,210,2868.541649,648.424724319999,0.06549148,-1.41867177967453,-0.120837702708544
"2DGN.4","Invaded","Disturbed",-3.8050327955913,0.929326311070665,-0.0967986205924088,214,2184.223222,648.424724319999,0.06549148,-0.58533671695091,-0.0643774673121607
"2DGN.5","Invaded","Disturbed",-4.15609905399081,-0.0929221392477358,-0.0967986205924088,139,1940.951052,648.424724319999,0.06549148,-0.894783732045493,-0.0489737849683053
"2DGL.1","Uninvaded","Disturbed",1.88531723721784,-0.0854209218337715,-0.0971129237396339,121,2596.752559,648.9143248,1.869691145,0.552794935708336,0.0715818695075088
"2DGL.2","Uninvaded","Disturbed",0.774381954021721,-1.08571234839523,-0.0971129237396339,192,1707.942831,648.9143248,1.869691145,0.266689713992988,-0.0237564048107634
"2DGL.3","Uninvaded","Disturbed",-1.1824998196156,-0.405763618656142,-0.0971129237396339,183,3431.635593,648.9143248,1.869691145,0.209280325341342,-0.216988698855593
"2DGL.4","Uninvaded","Disturbed",0.848582537678313,-0.0664823597408171,-0.0971129237396339,145,2964.987628,648.9143248,1.869691145,0.503026123318593,0.165134077800322
"2DGL.5","Uninvaded","Disturbed",0.370600414573356,-1.65778500775786,-0.0971129237396339,204,2816.77897,648.9143248,1.869691145,-1.39754760083693,-0.214518133953356
"2UGN.1","Invaded","Undisturbed",1.25810015982229,1.1098432344725,-0.0656482121136769,185,2347.079652,648.9188512,0.580773613,-0.03787924561764,0.00233903269991516
"2UGN.2","Invaded","Undisturbed",-1.19066780933926,2.10702659141658,-0.0656482121136769,185,2360.823218,648.9188512,0.580773613,-0.132551649948742,-0.0417758334008708
"2UGN.3","Invaded","Undisturbed",2.40878304275344,0.318000275507165,-0.0656482121136769,117,2079.829906,648.9188512,0.580773613,0.448985315253735,0.0849330633789775
"2UGN.4","Invaded","Undisturbed",-1.75966860188845,0.363200945549178,-0.0656482121136769,242,2997.611319,648.9188512,0.580773613,-0.0496928023718689,-0.0397305294351583
"2UGN.5","Invaded","Undisturbed",2.24863292478739,1.21290843283231,-0.0656482121136769,195,2717.961065,648.9188512,0.580773613,0.114101612009243,-0.0746742357523516
"2UGL.1","Uninvaded","Undisturbed",5.47524463972897,0.90372543231098,-0.0967922423009581,134,1074.866021,648.494316639999,1.727115804,0.405310598202859,0.000670794223471442
"2UGL.2","Uninvaded","Undisturbed",2.29943247798094,0.332152633880074,-0.0967922423009582,119,1362.302998,648.494316639999,1.727115804,0.638582817456946,0.0137834686683154
"2UGL.3","Uninvaded","Undisturbed",3.0997692630263,0.808311191789531,-0.0967922423009582,174,1661.435005,648.494316639999,1.727115804,0.320287256083036,-0.00481867978568097
"2UGL.4","Uninvaded","Undisturbed",3.2669223164126,0.233274869444,-0.0967922423009582,197,1312.247201,648.494316639999,1.727115804,-0.628617749397525,-0.055056728767358
"2UGL.5","Uninvaded","Undisturbed",3.96116732869593,1.43049758467092,-0.0967922423009582,125,1610.427013,648.494316639999,1.727115804,0.62016877312239,0.0275853119412857
